pretty_formula,rA,rB,mA,mB,orb_A,orb_B,Z_A,Z_B,X_A,X_B,air_A,air_B,mv_A,mv_B,a,b,c,alpha,beta,gamma,volume,A_B_bond,A_O_bond,B_O_bond,energy,EPA,FEPA,nsites,Band_gap,Density,CR_A,CR_B,IE_A,IE_B,A_valence,B_valence,EPS_A,EPS_B,DP_A,DP_B,SH_A,SH_B,TC_A,TC_B,A_density,B_density,MP_A,MP_B,BP_A,BP_B,FH_A,FH_B,EH_A,EH_B,LUMO,HOMO,target
SnO2,1.45,1.45,118.71,118.71,1,1,50,50,1.96,1.96,0.83,0.83,16.29,16.29,3.243221,4.832336,4.832336,90,90,90,75.73398183,3.782242,2.09221,2.09221,-37.70759223,-6.284598705,-2.123390066,6,0.6475,6.6088654,140,140,7.343917,7.343917,4,4,4,4,53,53,0.222,0.222,66.8,66.8,7.31,7.31,505.1,505.1,2543,2543,7.07,7.07,296,296,-0.338381,-0.338381,0
ZnO,1.35,1.35,65.409,65.409,2,2,30,30,1.65,1.65,0.88,0.88,9.16,9.16,3.28910248,3.28910248,5.306821,90,90,120,49.71871334,3.28910248,2.004229,2.004229,-18.20488992,-4.55122248,-1.798659443,4,0.7316,5.437864496,118,118,9.394199,9.394199,12,12,2,2,38.67,38.67,0.388,0.388,116,116,7.133,7.133,692.73,692.73,1180,1180,7.28,7.28,114.8,114.8,-0.222725,-0.338381,0
NiO,1.35,1.35,58.6934,58.6934,2,2,28,28,1.91,1.91,0.74,0.74,6.59,6.59,2.981600299,2.981600299,2.981600299,60,60,60,18.74274825,2.9816,2.10831,2.10831,-19.87253657,-4.968134143,-1.037390508,4,2.3071,6.61751945,110,110,7.639877,7.639877,10,10,2,2,49,49,0.443,0.443,90.9,90.9,8.902,8.902,1726,1726,3005,3005,17.61,17.61,378.6,378.6,-0.338381,-0.338381,1
Cr2O3,1.4,1.4,51.9961,51.9961,2,2,24,24,1.66,1.66,0.94,0.94,7.23,7.23,5.0697854,5.0697854,5.0697854,62.40551516,62.40551516,60,102.9233313,2.722932,2.00865,2.00865,-79.8478336,-7.98478336,-2.381365091,10,2.4343,4.904330346,122,122,6.76651,6.76651,6,6,1,1,83,83,0.488,0.488,93.9,93.9,7.18,7.18,2130,2130,2945,2945,21,21,342,342,-0.118123,-0.118123,1
WO3,1.35,1.35,183.84,183.84,2,2,74,74,2.36,2.36,0.766666667,0.766666667,9.47,9.47,3.908073,5.440348,5.440348,90,90,90,115.6687465,3.858785,1.837439,1.837439,-60.08556143,-7.510695179,-2.17466446,8,1.1456,6.656532446,137,137,7.86403,7.86403,6,6,2,2,68,68,0.133,0.133,173,173,19.3,19.3,3680,3680,5930,5930,35,35,824,824,-0.220603,-0.338381,1
CuO,1.35,1.35,63.546,63.546,2,2,29,29,1.9,1.9,0.82,0.82,7.11,7.11,2.830038,6.461516,12.331546,90,90,90,225.4987913,2.845797,2.494024,2.494024,-79.5215047,-4.970094044,-0.797657974,16,0.1518,4.686082489,112,112,7.72638,7.72638,11,11,1,1,46.5,46.5,0.385,0.385,401,401,8.96,8.96,1356.6,1356.6,2840,2840,13.01,13.01,304.6,304.6,-0.202272,-0.202272,1
In2O3,1.55,1.55,114.818,114.818,1,1,49,49,1.78,1.78,0.94,0.94,15.76,15.76,3.200684,5.861311,12.948072,90,90,90,242.9084765,3.19586,2.546919,2.546919,-108.2142768,-5.41071384,-1.762641067,20,0.1122,7.59170589,142,142,5.7863552,5.7863552,3,3,3,3,65,65,0.234,0.234,81.8,81.8,7.31,7.31,429.32,429.32,2353,2353,3.24,3.24,225.1,225.1,-0.290497,-0.338381,1
SmFeO3,1.85,1.4,150.36,55.845,3,2,62,26,1.17,1.83,1.229,0.8525,19.98,7.09,3.909141,3.909141,3.909141,90,90,90,59.73708222,3.385415413,2.76418011,1.9545705,-150.938034,-7.546901702,-2.908706517,20,1.5178,6.980158576,172,116,5.64371,7.9024678,3,8,2,2,192,62,0.18,0.443,13.3,80.4,7.52,7.874,1350,1808,2064,3023,8.9,13.8,165,340,-0.21776,-0.295049,1
LaFeO3,1.95,1.4,138.90547,55.845,3,2,57,26,1.1,1.83,1.172,0.8525,22.39,7.09,5.56696355,5.56695157,5.5669669,60.86600058,60.86588358,60.86586797,124.3758879,3.386546157,2.39325955,2.02649008,-146.9512085,-7.347560424,-2.665700314,20,1.7483,4.836286007,180,116,5.5769,7.9024678,3,8,2,2,215,62,0.197,0.443,13.4,80.4,6.15,7.874,1194,1808,3730,3023,8.5,13.8,402,340,-0.295049,-0.295049,1
Ta2CoO6,1.35,0.6,58.933195,15.9994,2,1,27,8,1.88,3.44,0.768333333,1.26,6.67,17.36,4.80487601,4.80529653,9.205696071,89.98746951,89.99357757,89.99861051,212.5489662,2.117100453,3.044291561,1.986492023,-323.9010298,-8.997250827,-2.950154697,36,2.531,8.075397352,146,111,7.54957,7.88101,5,9,2,2,74,55,0.14,0.456,57.5,100,16.654,8.9,3269,1768,5698,3143,24.7,15.48,758,389.1,-0.322368,-0.322368,1
Fe2NiO4,1.4,1.35,55.845,58.6934,2,2,26,28,1.83,1.91,0.8525,0.74,7.09,6.59,5.99628106,5.99628106,5.99628106,60,60,60,152.4512345,3.515631398,2.04582039,1.969500776,-87.69662401,-6.264044572,-1.682462036,14,1.3682,5.170922399,116,110,7.9024678,7.639877,8,10,2,2,62,49,0.443,0.443,80.4,90.9,7.874,8.902,1808,1726,3023,3005,13.8,17.61,340,378.6,-0.295049,-0.295049,1
Zn(FeO2)2,1.35,1.4,65.409,55.845,2,2,30,26,1.65,1.83,0.88,0.8525,9.16,7.09,6.04811088,6.04811088,24.95813782,83.11840115,83.11840115,60.15547068,784.2544736,2.983136589,1.964950639,1.931082361,-84.99769479,-6.071263914,-1.826304405,14,1.6195,5.112124309,118,116,9.394199,7.9024678,12,8,2,2,38.67,62,0.388,0.443,116,80.4,7.133,7.874,692.73,1808,1180,3023,7.28,13.8,114.8,340,-0.295049,-0.295049,1
LaCoO3,1.95,1.35,138.90547,58.933195,3,2,57,27,1.1,1.88,1.172,0.768333333,22.39,6.67,5.46019128,5.49096933,5.54274189,60.58814003,60.66548376,60.89372262,119.4041339,3.345546496,2.373517622,1.882584199,-143.9060157,-7.195300784,-2.613836522,20,1.0058,6.890196161,180,111,5.5769,7.88101,3,9,2,2,215,55,0.197,0.456,13.4,100,6.15,8.9,1194,1768,3730,3143,8.5,15.48,402,389.1,-0.322368,-0.322368,0
