pretty_formula,band_gap,gamma,B_specific_heat,X_A,B_O_bond,X_B,A_O_bond,HOMO,orb_B,c,target
SnO2,0.6475,90,0.222,1.96,2.09221,1.96,2.09221,-0.338381,1,4.832336,0
ZnO,0.7316,120,0.388,1.65,2.004229,1.65,2.004229,-0.338381,2,5.306821,0
NiO,2.3071,60,0.443,1.91,2.10831,1.91,2.10831,-0.338381,2,2.981600299,1
Cr2O3,2.4343,60,0.488,1.66,2.00865,1.66,2.00865,-0.118123,2,5.0697854,1
WO3,1.1456,90,0.133,2.36,1.837439,2.36,1.837439,-0.338381,2,5.440348,1
CuO,0.1518,90,0.385,1.9,2.494024,1.9,2.494024,-0.202272,2,12.331546,1
In2O3,0.1122,90,0.234,1.78,2.546919,1.78,2.546919,-0.338381,1,12.948072,1
SmFeO3,1.5178,90,0.443,1.17,1.9545705,1.83,2.76418011,-0.295049,2,3.909141,1
LaFeO3,1.7483,60.86586797,0.443,1.1,2.02649008,1.83,2.39325955,-0.295049,2,5.5669669,1
Ta2CoO6,2.531,89.99861051,0.456,1.88,1.986492023,3.44,3.044291561,-0.322368,1,9.205696071,1
Fe2NiO4,1.3682,60,0.443,1.83,1.969500776,1.91,2.04582039,-0.295049,2,5.99628106,1
Zn(FeO2)2,1.6195,60.15547068,0.443,1.65,1.931082361,1.83,1.964950639,-0.295049,2,24.95813782,1
LaCoO3,1.0058,60.89372262,0.456,1.1,1.882584199,1.88,2.373517622,-0.322368,2,5.54274189,0
SrMnO3,1.0065,120.0000554,0.477,0.95,1.907000136,1.55,2.761874738,-0.26654,2,9.249444,1
ZnWO4,3.5523,90,0.133,1.65,1.842596418,2.36,2.237064554,-0.338381,2,6.4970909,0
V2Co3O8,1.7421,117.482295,0.456,1.63,2.063915776,1.88,1.735798134,-0.322368,2,8.434964,1
ZnCr2O4,1.642,119.9930204,0.488,1.65,2.027718065,1.66,2.002216846,-0.150445,2,5.99526536,1
