pretty_formula,band_gap,B_O_bond,c,A_O_bond,A_B_bond,B_specific_heat,gamma,A_thermal_conductivity,mv_A,energy_per_atom,energy,X_A,a,b,A_melting_point,target
SnO2,0.6475,2.09221,4.832336,2.09221,3.782242,0.222,90,66.8,16.29,-6.284598705,-37.70759223,1.96,3.243221,4.832336,505.1,0
ZnO,0.7316,2.004229,5.306821,2.004229,3.28910248,0.388,120,116,9.16,-4.55122248,-18.20488992,1.65,3.28910248,3.28910248,692.73,0
NiO,2.3071,2.10831,2.981600299,2.10831,2.9816,0.443,60,90.9,6.59,-4.968134143,-19.87253657,1.91,2.981600299,2.981600299,1726,1
Cr2O3,2.4343,2.00865,5.0697854,2.00865,2.722932,0.488,60,93.9,7.23,-7.98478336,-79.8478336,1.66,5.0697854,5.0697854,2130,1
WO3,1.1456,1.837439,5.440348,1.837439,3.858785,0.133,90,173,9.47,-7.510695179,-60.08556143,2.36,3.908073,5.440348,3680,1
CuO,0.1518,2.494024,12.331546,2.494024,2.845797,0.385,90,401,7.11,-4.970094044,-79.5215047,1.9,2.830038,6.461516,1356.6,1
In2O3,0.1122,2.546919,12.948072,2.546919,3.19586,0.234,90,81.8,15.76,-5.41071384,-108.2142768,1.78,3.200684,5.861311,429.32,1
SmFeO3,1.5178,1.9545705,3.909141,2.76418011,3.385415413,0.443,90,13.3,19.98,-7.546901702,-150.938034,1.17,3.909141,3.909141,1350,1
LaFeO3,1.7483,2.02649008,5.5669669,2.39325955,3.386546157,0.443,60.86586797,13.4,22.39,-7.347560424,-146.9512085,1.1,5.56696355,5.56695157,1194,1
Ta2CoO6,2.531,1.986492023,9.205696071,3.044291561,2.117100453,0.456,89.99861051,57.5,6.67,-8.997250827,-323.9010298,1.88,4.80487601,4.80529653,3269,1
Fe2NiO4,1.3682,1.969500776,5.99628106,2.04582039,3.515631398,0.443,60,80.4,7.09,-6.264044572,-87.69662401,1.83,5.99628106,5.99628106,1808,1
Zn(FeO2)2,1.6195,1.931082361,24.95813782,1.964950639,2.983136589,0.443,60.15547068,116,9.16,-6.071263914,-84.99769479,1.65,6.04811088,6.04811088,692.73,1
LaCoO3,1.0058,1.882584199,5.54274189,2.373517622,3.345546496,0.456,60.89372262,13.4,22.39,-7.195300784,-143.9060157,1.1,5.46019128,5.49096933,1194,0
SrMnO3,1.0065,1.907000136,9.249444,2.761874738,3.356269395,0.477,120.0000554,35.3,33.94,-6.53396186,-130.6792372,0.95,5.523762178,5.52375708,1042,1
ZnWO4,3.5523,1.842596418,6.4970909,2.237064554,3.553265314,0.133,90,116,9.16,-6.484653061,-77.81583673,1.65,5.025075999,5.025075999,692.73,0
V2Co3O8,1.7421,2.063915776,8.434964,1.735798134,3.446441625,0.456,117.482295,30.7,8.32,-6.641579482,-172.6810665,1.63,6.062936003,6.5690911,2160,1
ZnCr2O4,1.642,2.027718065,5.99526536,2.002216846,3.51478595,0.488,119.9930204,116,9.16,-6.257010909,-87.59815272,1.65,5.995269078,5.99526398,692.73,1
Mn2CdO4,0.8878,2.191927351,6.512191441,1.966684158,3.538597434,0.232,90.12982614,7.8,7.35,-6.575490234,-92.05686328,1.55,5.92959148,5.92958934,1517,1
Cr2CdO4,2.4816,2.179840821,6.203409705,2.044188068,3.637071077,0.232,60.00000116,93.9,7.23,-6.900397281,-96.60556193,1.66,6.20340989,6.203409892,2130,1
Cr2NiO4,2.4279,1.994029779,6.000705151,2.013466124,3.4788641,0.443,90.10557082,93.9,7.23,-7.118328991,-99.65660587,1.66,5.94522398,5.98732972,2130,1
MnCr2O4,2.3763,2.033377807,6.06931786,2.064669132,3.557618713,0.488,60.1208647,7.8,7.35,-8.02933015,-112.4106221,1.55,6.069317064,6.0693147,1517,1
Nb2CoO6,1.3073,2.086910222,14.330026,1.843187367,3.532829294,0.456,90,53.7,10.83,-8.31803989,-299.449436,1.6,5.097999,5.832114,2741,1
Nb2ZnO6,3.2709,2.082415815,14.41216,1.836694914,3.528012792,0.388,90,53.7,10.83,-7.990119685,-287.6443087,1.6,5.090563,5.850563,2741,0
La2NiO4,1.5036,1.98643485,6.802239747,2.326303745,3.231123967,0.443,89.99891409,13.4,22.39,-7.376234512,-206.5345663,1.1,5.511652,5.676467,1194,0
Ta2Zn3O8,3.5074,1.949391624,9.65011501,1.911211373,3.35382776,0.388,87.06026848,57.5,10.85,-7.37069524,-191.6380762,1.5,6.18578249,6.18578249,3269,0
CoWO4,2.2831,1.840169387,5.76685002,2.098916841,3.56516669,0.133,89.23796235,100,6.67,-7.094869846,-85.13843815,1.88,4.70136494,5.06170178,1768,0
V2Zn3O8,2.7096,2.046147565,8.381382,1.729886115,3.410979952,0.388,117.7238832,30.7,8.32,-6.130359884,-159.389357,1.63,6.180112001,6.64226665,2160,0
V2Ni3O8,2.5737,2.03220567,8.355164,1.730867188,3.394709789,0.443,117.4738067,30.7,8.32,-6.377408155,-165.812612,1.63,6.004827,6.507983447,2160,0
Zn2SnO4,0.4114,2.003140587,6.19975528,2.133117697,3.634928734,0.222,60,116,9.16,-5.177654464,-72.4871625,1.65,6.19975528,6.19975528,692.73,0
V2Cd2O7,2.5472,2.274585635,5.84026919,1.731863232,3.628154021,0.232,98.20671246,30.7,8.32,-6.305229512,-69.35752463,1.63,5.10125904,5.84026919,2160,0
CoMoO4,1.9885,1.759221398,7.81613041,2.017030367,3.227134552,0.251,85.26845478,100,6.67,-6.503533483,-156.0848036,1.88,6.63341453,6.63341453,1768,0
ZnMoO4,3.5378,1.810156492,5.84547,2.041753724,3.484602249,0.251,90.957856,116,9.16,-6.244602127,-224.8056766,1.65,4.749686,4.96663203,692.73,0
Fe2NiO4,1.3682,1.969500776,5.99628106,2.04582039,3.515631398,0.443,60,80.4,7.09,-6.264044572,-87.69662401,1.83,5.99628106,5.99628106,1808,1
CdMoO4,2.4709,1.811317213,6.80978995,2.446129706,3.715813609,0.251,90,96.9,13,-6.089207617,-73.0704914,1.69,5.254954002,5.254954002,594.1,0
TiZnO3,2.9845,2.717473585,3.843088,1.921544,3.328211837,0.388,90,21.9,10.64,-7.18017766,-71.8017766,1.54,3.843088,3.843088,1933,0
TiNiO3,1.5112,1.977803109,25.24768956,1.772514871,2.814936982,0.443,117.4146279,21.9,10.64,-7.342483634,-440.549018,1.54,5.076668939,5.49939771,1933,0
VBiO4,2.2378,2.293450719,6.46780191,1.698844609,3.300446672,0.124,63.99888125,30.7,8.32,-6.854568936,-82.25482723,1.63,6.14887432,6.303916005,2160,0
CdWO4,3.2559,1.833890398,5.991492,2.271011675,3.673890044,0.133,92.09542192,96.9,13,-6.406505384,-76.87806461,1.69,5.103535,5.19925965,594.1,0
