pretty_formula,band_gap,HOMO,gamma,mv_A,B_covalent_radius,A_B_bond,Z_B,X_A,c,A_O_bond,mB,beta,formation_energy_per_atom,B_O_bond,alpha,target
SnO2,0.6475,-0.338381,90,16.29,140,3.782242,50,1.96,4.832336,2.09221,118.71,90,-2.123390066,2.09221,90,0
ZnO,0.7316,-0.338381,120,9.16,118,3.28910248,30,1.65,5.306821,2.004229,65.409,90,-1.798659443,2.004229,90,0
NiO,2.3071,-0.338381,60,6.59,110,2.9816,28,1.91,2.981600299,2.10831,58.6934,60,-1.037390508,2.10831,60,1
Cr2O3,2.4343,-0.118123,60,7.23,122,2.722932,24,1.66,5.0697854,2.00865,51.9961,62.40551516,-2.381365091,2.00865,62.40551516,1
WO3,1.1456,-0.338381,90,9.47,137,3.858785,74,2.36,5.440348,1.837439,183.84,90,-2.17466446,1.837439,90,1
CuO,0.1518,-0.202272,90,7.11,112,2.845797,29,1.9,12.331546,2.494024,63.546,90,-0.797657974,2.494024,90,1
In2O3,0.1122,-0.338381,90,15.76,142,3.19586,49,1.78,12.948072,2.546919,114.818,90,-1.762641067,2.546919,90,1
SmFeO3,1.5178,-0.295049,90,19.98,116,3.385415413,26,1.17,3.909141,2.76418011,55.845,90,-2.908706517,1.9545705,90,1
LaFeO3,1.7483,-0.295049,60.86586797,22.39,116,3.386546157,26,1.1,5.5669669,2.39325955,55.845,60.86588358,-2.665700314,2.02649008,60.86600058,1
Ta2CoO6,2.531,-0.322368,89.99861051,6.67,111,2.117100453,8,1.88,9.205696071,3.044291561,15.9994,89.99357757,-2.950154697,1.986492023,89.98746951,1
Fe2NiO4,1.3682,-0.295049,60,7.09,110,3.515631398,28,1.83,5.99628106,2.04582039,58.6934,60,-1.682462036,1.969500776,60,1
Zn(FeO2)2,1.6195,-0.295049,60.15547068,9.16,116,2.983136589,26,1.65,24.95813782,1.964950639,55.845,83.11840115,-1.826304405,1.931082361,83.11840115,1
LaCoO3,1.0058,-0.322368,60.89372262,22.39,111,3.345546496,27,1.1,5.54274189,2.373517622,58.933195,60.66548376,-2.613836522,1.882584199,60.58814003,0
SrMnO3,1.0065,-0.26654,120.0000554,33.94,119,3.356269395,25,0.95,9.249444,2.761874738,54.938045,90,-2.152495064,1.907000136,90,1
ZnWO4,3.5523,-0.338381,90,9.16,137,3.553265314,74,1.65,6.4970909,2.237064554,183.84,112.750399,-2.009778236,1.842596418,112.750399,0
V2Co3O8,1.7421,-0.322368,117.482295,8.32,111,3.446441625,27,1.63,8.434964,1.735798134,58.933195,90,-1.682426446,2.063915776,90,1
ZnCr2O4,1.642,-0.150445,119.9930204,9.16,122,3.51478595,24,1.65,5.99526536,2.002216846,51.9961,119.9933226,-1.468122706,2.027718065,90.01183423,1
Mn2CdO4,0.8878,-0.26654,90.12982614,7.35,136,3.538597434,48,1.55,6.512191441,1.966684158,112.411,117.0146187,-1.882550621,2.191927351,117.0170673,1
Cr2CdO4,2.4816,-0.150445,60.00000116,7.23,136,3.637071077,48,1.66,6.203409705,2.044188068,112.411,59.99999619,-2.161974481,2.179840821,59.99999616,1
Cr2NiO4,2.4279,-0.150445,90.10557082,7.23,110,3.4788641,28,1.66,6.000705151,2.013466124,58.6934,119.6471644,-1.99281776,1.994029779,119.7771702,1
MnCr2O4,2.3763,-0.191136,60.1208647,7.35,122,3.557618713,24,1.55,6.06931786,2.064669132,51.9961,60.12094766,-2.351671131,2.033377807,60.12091798,1
Nb2CoO6,1.3073,-0.322368,90,10.83,111,3.532829294,27,1.6,14.330026,1.843187367,58.933195,90,-2.661270924,2.086910222,90,1
Nb2ZnO6,3.2709,-0.338381,90,10.83,118,3.528012792,30,1.6,14.41216,1.836694914,65.409,90,-2.775001519,2.082415815,90,0
La2NiO4,1.5036,-0.338381,89.99891409,22.39,110,3.231123967,28,1.1,6.802239747,2.326303745,58.6934,66.10143256,-3.023306243,1.98643485,89.99941545,0
Ta2Zn3O8,3.5074,-0.338381,87.06026848,10.85,118,3.35382776,30,1.5,9.65011501,1.911211373,65.409,71.64292718,-2.643059846,1.949391624,71.64292718,0
CoWO4,2.2831,-0.322368,89.23796235,6.67,137,3.56516669,74,1.88,5.76685002,2.098916841,183.84,90.00444228,-1.957518823,1.840169387,90.0051847,0
V2Zn3O8,2.7096,-0.338381,117.7238832,8.32,118,3.410979952,30,1.63,8.381382,1.729886115,65.409,90,-2.088481584,2.046147565,90,0
V2Ni3O8,2.5737,-0.338381,117.4738067,8.32,110,3.394709789,28,1.63,8.355164,1.730867188,58.6934,90,-1.791754194,2.03220567,90,0
